STZ,Constellation Brands,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CEG,Constellation Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
COO,CooperCompanies,Health Care,cap,Country,IPO,Year,Sector,Industry
CPRT,Copart,Industrials,cap,Country,IPO,Year,Sector,Industry
GLW,Corning,Information Technology,cap,Country,IPO,Year,Sector,Industry
CTVA,Corteva,Materials,cap,Country,IPO,Year,Sector,Industry
COST,Costco,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CTRA,Coterra,Energy,cap,Country,IPO,Year,Sector,Industry
CCI,Crown Castle,Real Estate,cap,Country,IPO,Year,Sector,Industry
CSX,CSX,Industrials,cap,Country,IPO,Year,Sector,Industry
CMI,Cummins,Industrials,cap,Country,IPO,Year,Sector,Industry
CVS,CVS Health,Health Care,cap,Country,IPO,Year,Sector,Industry
DHI,D.R. Horton,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
DHR,Danaher,Health Care,cap,Country,IPO,Year,Sector,Industry
DRI,Darden,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
DVA,DaVita,Health Care,cap,Country,IPO,Year,Sector,Industry
DE,Deere & Co.,Industrials,cap,Country,IPO,Year,Sector,Industry
DAL,Delta Air Lines,Industrials,cap,Country,IPO,Year,Sector,Industry
XRAY,Dentsply Sirona,Health Care,cap,Country,IPO,Year,Sector,Industry
DVN,Devon,Energy,cap,Country,IPO,Year,Sector,Industry
DXCM,DexCom,Health Care,cap,Country,IPO,Year,Sector,Industry
FANG,Diamondback,Energy,cap,Country,IPO,Year,Sector,Industry
DLR,Digital Realty,Real Estate,cap,Country,IPO,Year,Sector,Industry
DFS,Discover,Financials,cap,Country,IPO,Year,Sector,Industry
DISH,Dish,Communication Services,cap,Country,IPO,Year,Sector,Industry
DIS,Disney,Communication Services,cap,Country,IPO,Year,Sector,Industry
DG,Dollar General,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
DLTR,Dollar Tree,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
D,Dominion Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
DPZ,Domino's,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
DOV,Dover,Industrials,cap,Country,IPO,Year,Sector,Industry
DOW,Dow,Materials,cap,Country,IPO,Year,Sector,Industry
DTE,DTE,Utilities,cap,Country,IPO,Year,Sector,Industry
DUK,Duke Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
DRE,Duke Realty,Real Estate,cap,Country,IPO,Year,Sector,Industry
DD,DuPont,Materials,cap,Country,IPO,Year,Sector,Industry
DXC,DXC Technology,Information Technology,cap,Country,IPO,Year,Sector,Industry
EMN,Eastman,Materials,cap,Country,IPO,Year,Sector,Industry
ETN,Eaton,Industrials,cap,Country,IPO,Year,Sector,Industry
EBAY,eBay,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
ECL,Ecolab,Materials,cap,Country,IPO,Year,Sector,Industry
EIX,Edison International,Utilities,cap,Country,IPO,Year,Sector,Industry
EW,Edwards Lifesciences,Health Care,cap,Country,IPO,Year,Sector,Industry
EA,Electronic Arts,Communication Services,cap,Country,IPO,Year,Sector,Industry
EMR,Emerson,Industrials,cap,Country,IPO,Year,Sector,Industry
ENPH,Enphase,Information Technology,cap,Country,IPO,Year,Sector,Industry
ETR,Entergy,Utilities,cap,Country,IPO,Year,Sector,Industry
EOG,EOG Resources,Energy,cap,Country,IPO,Year,Sector,Industry
EPAM,EPAM,Information Technology,cap,Country,IPO,Year,Sector,Industry
EFX,Equifax,Industrials,cap,Country,IPO,Year,Sector,Industry
EQIX,Equinix,Real Estate,cap,Country,IPO,Year,Sector,Industry
EQR,Equity Residential,Real Estate,cap,Country,IPO,Year,Sector,Industry
ESS,Essex,Real Estate,cap,Country,IPO,Year,Sector,Industry
EL,Estée Lauder Companies,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
ETSY,Etsy,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
RE,Everest,Financials,cap,Country,IPO,Year,Sector,Industry
EVRG,Evergy,Utilities,cap,Country,IPO,Year,Sector,Industry
ES,Eversource,Utilities,cap,Country,IPO,Year,Sector,Industry
EXC,Exelon,Utilities,cap,Country,IPO,Year,Sector,Industry
EXPE,Expedia Group,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
EXPD,Expeditors,Industrials,cap,Country,IPO,Year,Sector,Industry
EXR,Extra Space Storage,Real Estate,cap,Country,IPO,Year,Sector,Industry
XOM,ExxonMobil,Energy,cap,Country,IPO,Year,Sector,Industry
FFIV,F5,Information Technology,cap,Country,IPO,Year,Sector,Industry
FDS,FactSet,Financials,cap,Country,IPO,Year,Sector,Industry
FAST,Fastenal,Industrials,cap,Country,IPO,Year,Sector,Industry
FRT,Federal Realty,Real Estate,cap,Country,IPO,Year,Sector,Industry
FDX,FedEx,Industrials,cap,Country,IPO,Year,Sector,Industry
FITB,Fifth Third Bank,Financials,cap,Country,IPO,Year,Sector,Industry
FRC,First Republic,Financials,cap,Country,IPO,Year,Sector,Industry
FE,FirstEnergy,Utilities,cap,Country,IPO,Year,Sector,Industry
FIS,FIS,Information Technology,cap,Country,IPO,Year,Sector,Industry
FISV,Fiserv,Information Technology,cap,Country,IPO,Year,Sector,Industry
FLT,Fleetcor,Information Technology,cap,Country,IPO,Year,Sector,Industry
FMC,FMC,Materials,cap,Country,IPO,Year,Sector,Industry
F,Ford,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
FTNT,Fortinet,Information Technology,cap,Country,IPO,Year,Sector,Industry
FTV,Fortive,Industrials,cap,Country,IPO,Year,Sector,Industry
FBHS,Fortune Brands,Industrials,cap,Country,IPO,Year,Sector,Industry
FOXA,Fox Corporation (Class A),Communication Services,cap,Country,IPO,Year,Sector,Industry
FOX,Fox Corporation (Class B),Communication Services,cap,Country,IPO,Year,Sector,Industry
BEN,Franklin Templeton,Financials,cap,Country,IPO,Year,Sector,Industry
FCX,Freeport-McMoRan,Materials,cap,Country,IPO,Year,Sector,Industry
AJG,Gallagher,Financials,cap,Country,IPO,Year,Sector,Industry
GRMN,Garmin,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
IT,Gartner,Information Technology,cap,Country,IPO,Year,Sector,Industry
GE,GE,Industrials,cap,Country,IPO,Year,Sector,Industry
GNRC,Generac,Industrials,cap,Country,IPO,Year,Sector,Industry
GD,General Dynamics,Industrials,cap,Country,IPO,Year,Sector,Industry
GIS,General Mills,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
